method,layer_idx,alpha,mode,loophole_rate,compliant_rate,non_compliant_rate,safe_rate,steering_vector_path
pca,11,0.5,both,0.33611111111111114,0.31574074074074077,0.34814814814814815,0.663888888888889,data/llm/steering_vectors/steering_loophole_llama-3.1-8b-instruct_pca_layer11_alpha0.5_both.npy
pca,11,0.75,both,0.33611111111111114,0.31574074074074077,0.34814814814814815,0.663888888888889,data/llm/steering_vectors/steering_loophole_llama-3.1-8b-instruct_pca_layer11_alpha0.75_both.npy
pca,11,1.0,both,0.33611111111111114,0.32037037037037036,0.3435185185185185,0.6638888888888889,data/llm/steering_vectors/steering_loophole_llama-3.1-8b-instruct_pca_layer11_alpha1.0_both.npy
pca,11,1.25,both,0.34629629629629627,0.3055555555555556,0.34814814814814815,0.6537037037037037,data/llm/steering_vectors/steering_loophole_llama-3.1-8b-instruct_pca_layer11_alpha1.25_both.npy
pca,11,1.5,both,0.3416666666666667,0.30648148148148147,0.35185185185185186,0.6583333333333333,data/llm/steering_vectors/steering_loophole_llama-3.1-8b-instruct_pca_layer11_alpha1.5_both.npy
pca,11,1.75,both,0.31296296296296294,0.3194444444444444,0.3675925925925926,0.687037037037037,data/llm/steering_vectors/steering_loophole_llama-3.1-8b-instruct_pca_layer11_alpha1.75_both.npy
pca,11,2.0,both,0.28703703703703703,0.337037037037037,0.37592592592592594,0.712962962962963,data/llm/steering_vectors/steering_loophole_llama-3.1-8b-instruct_pca_layer11_alpha2.0_both.npy
pca,11,2.25,both,0.2972222222222222,0.3787037037037037,0.32407407407407407,0.7027777777777777,data/llm/steering_vectors/steering_loophole_llama-3.1-8b-instruct_pca_layer11_alpha2.25_both.npy
pca,11,2.5,both,0.3101851851851852,0.3611111111111111,0.3287037037037037,0.6898148148148149,data/llm/steering_vectors/steering_loophole_llama-3.1-8b-instruct_pca_layer11_alpha2.5_both.npy
pca,11,3.0,both,0.3212962962962963,0.35462962962962963,0.32407407407407407,0.6787037037037037,data/llm/steering_vectors/steering_loophole_llama-3.1-8b-instruct_pca_layer11_alpha3.0_both.npy
pca,11,4.0,both,0.3212962962962963,0.35462962962962963,0.32407407407407407,0.6787037037037037,data/llm/steering_vectors/steering_loophole_llama-3.1-8b-instruct_pca_layer11_alpha4.0_both.npy
pca,14,0.01,both,0.37777777777777777,0.2518518518518518,0.37037037037037035,0.6222222222222222,data/llm/steering_vectors/steering_loophole_llama-3.1-8b-instruct_pca_layer14_alpha0.01_both.npy
pca,14,0.02,both,0.37962962962962965,0.2537037037037037,0.36666666666666664,0.6203703703703703,data/llm/steering_vectors/steering_loophole_llama-3.1-8b-instruct_pca_layer14_alpha0.02_both.npy
pca,14,0.05,both,0.3731481481481482,0.26851851851851855,0.35833333333333334,0.6268518518518519,data/llm/steering_vectors/steering_loophole_llama-3.1-8b-instruct_pca_layer14_alpha0.05_both.npy
pca,14,0.075,both,0.3592592592592593,0.2898148148148148,0.3509259259259259,0.6407407407407407,data/llm/steering_vectors/steering_loophole_llama-3.1-8b-instruct_pca_layer14_alpha0.075_both.npy
pca,14,0.1,both,0.3592592592592593,0.2898148148148148,0.3509259259259259,0.6407407407407407,data/llm/steering_vectors/steering_loophole_llama-3.1-8b-instruct_pca_layer14_alpha0.1_both.npy
pca,14,0.15,both,0.36018518518518516,0.2953703703703704,0.34444444444444444,0.6398148148148148,data/llm/steering_vectors/steering_loophole_llama-3.1-8b-instruct_pca_layer14_alpha0.15_both.npy
pca,14,0.2,both,0.35648148148148145,0.29907407407407405,0.34444444444444444,0.6435185185185185,data/llm/steering_vectors/steering_loophole_llama-3.1-8b-instruct_pca_layer14_alpha0.2_both.npy
pca,14,0.25,both,0.3527777777777778,0.30277777777777776,0.34444444444444444,0.6472222222222221,data/llm/steering_vectors/steering_loophole_llama-3.1-8b-instruct_pca_layer14_alpha0.25_both.npy
pca,14,0.3,both,0.35,0.3055555555555556,0.34444444444444444,0.65,data/llm/steering_vectors/steering_loophole_llama-3.1-8b-instruct_pca_layer14_alpha0.3_both.npy
pca,14,0.4,both,0.3425925925925926,0.31296296296296294,0.34444444444444444,0.6574074074074074,data/llm/steering_vectors/steering_loophole_llama-3.1-8b-instruct_pca_layer14_alpha0.4_both.npy
pca,14,0.5,both,0.33796296296296297,0.3175925925925926,0.34444444444444444,0.662037037037037,data/llm/steering_vectors/steering_loophole_llama-3.1-8b-instruct_pca_layer14_alpha0.5_both.npy
pca,14,0.75,both,0.33796296296296297,0.3175925925925926,0.34444444444444444,0.662037037037037,data/llm/steering_vectors/steering_loophole_llama-3.1-8b-instruct_pca_layer14_alpha0.75_both.npy
pca,14,1.0,both,0.36203703703703705,0.3037037037037037,0.33425925925925926,0.637962962962963,data/llm/steering_vectors/steering_loophole_llama-3.1-8b-instruct_pca_layer14_alpha1.0_both.npy
pca,14,1.25,both,0.38796296296296295,0.262037037037037,0.35,0.6120370370370369,data/llm/steering_vectors/steering_loophole_llama-3.1-8b-instruct_pca_layer14_alpha1.25_both.npy
pca,14,1.5,both,0.337037037037037,0.27314814814814814,0.38981481481481484,0.662962962962963,data/llm/steering_vectors/steering_loophole_llama-3.1-8b-instruct_pca_layer14_alpha1.5_both.npy
pca,14,1.75,both,0.33611111111111114,0.2953703703703704,0.3685185185185185,0.663888888888889,data/llm/steering_vectors/steering_loophole_llama-3.1-8b-instruct_pca_layer14_alpha1.75_both.npy
pca,14,2.0,both,0.30833333333333335,0.30925925925925923,0.3824074074074074,0.6916666666666667,data/llm/steering_vectors/steering_loophole_llama-3.1-8b-instruct_pca_layer14_alpha2.0_both.npy
pca,14,2.25,both,0.33240740740740743,0.3074074074074074,0.36018518518518516,0.6675925925925925,data/llm/steering_vectors/steering_loophole_llama-3.1-8b-instruct_pca_layer14_alpha2.25_both.npy
