method,layer_idx,alpha,mode,loophole_rate,compliant_rate,non_compliant_rate,safe_rate,steering_vector_path
pca,11,2.4,both,0.32407407407407407,0.3351851851851852,0.34074074074074073,0.6759259259259259,data/llm/steering_vectors/steering_loophole_qwen-2.5-7b-instruct_pca_layer11_alpha2.4_both.npy
pca,11,2.5,both,0.325,0.33055555555555555,0.34444444444444444,0.675,data/llm/steering_vectors/steering_loophole_qwen-2.5-7b-instruct_pca_layer11_alpha2.5_both.npy
pca,11,2.6,both,0.3277777777777778,0.3333333333333333,0.3388888888888889,0.6722222222222223,data/llm/steering_vectors/steering_loophole_qwen-2.5-7b-instruct_pca_layer11_alpha2.6_both.npy
pca,11,2.75,both,0.32407407407407407,0.337037037037037,0.3388888888888889,0.6759259259259259,data/llm/steering_vectors/steering_loophole_qwen-2.5-7b-instruct_pca_layer11_alpha2.75_both.npy
pca,11,3.0,both,0.32685185185185184,0.34814814814814815,0.325,0.6731481481481482,data/llm/steering_vectors/steering_loophole_qwen-2.5-7b-instruct_pca_layer11_alpha3.0_both.npy
pca,12,1.0,both,0.362962962962963,0.3296296296296296,0.3074074074074074,0.6370370370370371,data/llm/steering_vectors/steering_loophole_qwen-2.5-7b-instruct_pca_layer12_alpha1.0_both.npy
pca,12,1.25,both,0.3611111111111111,0.3296296296296296,0.30925925925925923,0.6388888888888888,data/llm/steering_vectors/steering_loophole_qwen-2.5-7b-instruct_pca_layer12_alpha1.25_both.npy
pca,12,1.5,both,0.3611111111111111,0.32407407407407407,0.3148148148148148,0.6388888888888888,data/llm/steering_vectors/steering_loophole_qwen-2.5-7b-instruct_pca_layer12_alpha1.5_both.npy
pca,12,1.6,both,0.3648148148148148,0.32314814814814813,0.31203703703703706,0.6351851851851852,data/llm/steering_vectors/steering_loophole_qwen-2.5-7b-instruct_pca_layer12_alpha1.6_both.npy
pca,12,1.7,both,0.362962962962963,0.3351851851851852,0.30185185185185187,0.6370370370370371,data/llm/steering_vectors/steering_loophole_qwen-2.5-7b-instruct_pca_layer12_alpha1.7_both.npy
pca,12,1.75,both,0.3685185185185185,0.33240740740740743,0.29907407407407405,0.6314814814814815,data/llm/steering_vectors/steering_loophole_qwen-2.5-7b-instruct_pca_layer12_alpha1.75_both.npy
pca,12,1.8,both,0.3675925925925926,0.3287037037037037,0.3037037037037037,0.6324074074074074,data/llm/steering_vectors/steering_loophole_qwen-2.5-7b-instruct_pca_layer12_alpha1.8_both.npy
pca,12,1.9,both,0.3638888888888889,0.3388888888888889,0.2972222222222222,0.6361111111111111,data/llm/steering_vectors/steering_loophole_qwen-2.5-7b-instruct_pca_layer12_alpha1.9_both.npy
pca,12,2.0,both,0.36574074074074076,0.33425925925925926,0.3,0.6342592592592593,data/llm/steering_vectors/steering_loophole_qwen-2.5-7b-instruct_pca_layer12_alpha2.0_both.npy
pca,12,2.1,both,0.36203703703703705,0.3453703703703704,0.29259259259259257,0.637962962962963,data/llm/steering_vectors/steering_loophole_qwen-2.5-7b-instruct_pca_layer12_alpha2.1_both.npy
pca,12,2.2,both,0.3638888888888889,0.34444444444444444,0.2916666666666667,0.6361111111111111,data/llm/steering_vectors/steering_loophole_qwen-2.5-7b-instruct_pca_layer12_alpha2.2_both.npy
pca,12,2.25,both,0.3648148148148148,0.3435185185185185,0.2916666666666667,0.6351851851851852,data/llm/steering_vectors/steering_loophole_qwen-2.5-7b-instruct_pca_layer12_alpha2.25_both.npy
pca,12,2.3,both,0.36574074074074076,0.3435185185185185,0.29074074074074074,0.6342592592592593,data/llm/steering_vectors/steering_loophole_qwen-2.5-7b-instruct_pca_layer12_alpha2.3_both.npy
pca,12,2.4,both,0.35555555555555557,0.34629629629629627,0.29814814814814816,0.6444444444444444,data/llm/steering_vectors/steering_loophole_qwen-2.5-7b-instruct_pca_layer12_alpha2.4_both.npy
pca,12,2.5,both,0.3611111111111111,0.34074074074074073,0.29814814814814816,0.6388888888888888,data/llm/steering_vectors/steering_loophole_qwen-2.5-7b-instruct_pca_layer12_alpha2.5_both.npy
pca,12,2.6,both,0.3648148148148148,0.3435185185185185,0.2916666666666667,0.6351851851851852,data/llm/steering_vectors/steering_loophole_qwen-2.5-7b-instruct_pca_layer12_alpha2.6_both.npy
pca,12,2.75,both,0.37222222222222223,0.3351851851851852,0.29259259259259257,0.6277777777777778,data/llm/steering_vectors/steering_loophole_qwen-2.5-7b-instruct_pca_layer12_alpha2.75_both.npy
pca,12,3.0,both,0.37962962962962965,0.3287037037037037,0.2916666666666667,0.6203703703703705,data/llm/steering_vectors/steering_loophole_qwen-2.5-7b-instruct_pca_layer12_alpha3.0_both.npy
pca,13,1.0,both,0.36203703703703705,0.34074074074074073,0.2972222222222222,0.637962962962963,data/llm/steering_vectors/steering_loophole_qwen-2.5-7b-instruct_pca_layer13_alpha1.0_both.npy
pca,13,1.25,both,0.362962962962963,0.3398148148148148,0.2972222222222222,0.6370370370370371,data/llm/steering_vectors/steering_loophole_qwen-2.5-7b-instruct_pca_layer13_alpha1.25_both.npy
pca,13,1.5,both,0.3675925925925926,0.3472222222222222,0.2851851851851852,0.6324074074074074,data/llm/steering_vectors/steering_loophole_qwen-2.5-7b-instruct_pca_layer13_alpha1.5_both.npy
pca,13,1.6,both,0.36018518518518516,0.3527777777777778,0.28703703703703703,0.6398148148148148,data/llm/steering_vectors/steering_loophole_qwen-2.5-7b-instruct_pca_layer13_alpha1.6_both.npy
pca,13,1.7,both,0.3592592592592593,0.3537037037037037,0.28703703703703703,0.6407407407407407,data/llm/steering_vectors/steering_loophole_qwen-2.5-7b-instruct_pca_layer13_alpha1.7_both.npy
pca,13,1.75,both,0.36203703703703705,0.35555555555555557,0.2824074074074074,0.637962962962963,data/llm/steering_vectors/steering_loophole_qwen-2.5-7b-instruct_pca_layer13_alpha1.75_both.npy
pca,13,1.8,both,0.36574074074074076,0.35185185185185186,0.2824074074074074,0.6342592592592593,data/llm/steering_vectors/steering_loophole_qwen-2.5-7b-instruct_pca_layer13_alpha1.8_both.npy
pca,13,1.9,both,0.36574074074074076,0.35648148148148145,0.2777777777777778,0.6342592592592593,data/llm/steering_vectors/steering_loophole_qwen-2.5-7b-instruct_pca_layer13_alpha1.9_both.npy
pca,13,2.0,both,0.35555555555555557,0.3638888888888889,0.28055555555555556,0.6444444444444444,data/llm/steering_vectors/steering_loophole_qwen-2.5-7b-instruct_pca_layer13_alpha2.0_both.npy
pca,13,2.1,both,0.35462962962962963,0.36574074074074076,0.2796296296296296,0.6453703703703704,data/llm/steering_vectors/steering_loophole_qwen-2.5-7b-instruct_pca_layer13_alpha2.1_both.npy
pca,13,2.2,both,0.337037037037037,0.37777777777777777,0.2851851851851852,0.662962962962963,data/llm/steering_vectors/steering_loophole_qwen-2.5-7b-instruct_pca_layer13_alpha2.2_both.npy
pca,13,2.25,both,0.34074074074074073,0.375,0.28425925925925927,0.6592592592592592,data/llm/steering_vectors/steering_loophole_qwen-2.5-7b-instruct_pca_layer13_alpha2.25_both.npy
pca,13,2.3,both,0.34444444444444444,0.37037037037037035,0.2851851851851852,0.6555555555555556,data/llm/steering_vectors/steering_loophole_qwen-2.5-7b-instruct_pca_layer13_alpha2.3_both.npy
pca,13,2.4,both,0.34074074074074073,0.37222222222222223,0.28703703703703703,0.6592592592592592,data/llm/steering_vectors/steering_loophole_qwen-2.5-7b-instruct_pca_layer13_alpha2.4_both.npy
pca,13,2.5,both,0.3388888888888889,0.3787037037037037,0.2824074074074074,0.6611111111111111,data/llm/steering_vectors/steering_loophole_qwen-2.5-7b-instruct_pca_layer13_alpha2.5_both.npy
pca,13,2.6,both,0.3388888888888889,0.3907407407407407,0.27037037037037037,0.6611111111111111,data/llm/steering_vectors/steering_loophole_qwen-2.5-7b-instruct_pca_layer13_alpha2.6_both.npy
pca,13,2.75,both,0.33055555555555555,0.3962962962962963,0.27314814814814814,0.6694444444444445,data/llm/steering_vectors/steering_loophole_qwen-2.5-7b-instruct_pca_layer13_alpha2.75_both.npy
pca,13,3.0,both,0.32314814814814813,0.41388888888888886,0.26296296296296295,0.6768518518518518,data/llm/steering_vectors/steering_loophole_qwen-2.5-7b-instruct_pca_layer13_alpha3.0_both.npy
