method,layer_idx,alpha,mode,loophole_rate,compliant_rate,non_compliant_rate,safe_rate,steering_vector_path
mean,10,1.25,both,0.35462962962962963,0.3314814814814815,0.3138888888888889,0.6453703703703704,data/llm/steering_vectors/steering_loophole_llama-3.1-8b-instruct_mean_layer10_alpha1.25_both.npy
mean,10,1.5,both,0.35,0.3333333333333333,0.31666666666666665,0.6499999999999999,data/llm/steering_vectors/steering_loophole_llama-3.1-8b-instruct_mean_layer10_alpha1.5_both.npy
mean,10,1.6,both,0.3453703703703704,0.3333333333333333,0.3212962962962963,0.6546296296296297,data/llm/steering_vectors/steering_loophole_llama-3.1-8b-instruct_mean_layer10_alpha1.6_both.npy
mean,10,1.7,both,0.34444444444444444,0.3277777777777778,0.3277777777777778,0.6555555555555556,data/llm/steering_vectors/steering_loophole_llama-3.1-8b-instruct_mean_layer10_alpha1.7_both.npy
mean,10,1.75,both,0.34444444444444444,0.3277777777777778,0.3277777777777778,0.6555555555555556,data/llm/steering_vectors/steering_loophole_llama-3.1-8b-instruct_mean_layer10_alpha1.75_both.npy
mean,10,1.8,both,0.34444444444444444,0.3277777777777778,0.3277777777777778,0.6555555555555556,data/llm/steering_vectors/steering_loophole_llama-3.1-8b-instruct_mean_layer10_alpha1.8_both.npy
mean,10,1.9,both,0.34444444444444444,0.3277777777777778,0.3277777777777778,0.6555555555555556,data/llm/steering_vectors/steering_loophole_llama-3.1-8b-instruct_mean_layer10_alpha1.9_both.npy
mean,10,2.0,both,0.34444444444444444,0.3277777777777778,0.3277777777777778,0.6555555555555556,data/llm/steering_vectors/steering_loophole_llama-3.1-8b-instruct_mean_layer10_alpha2.0_both.npy
mean,10,2.1,both,0.34444444444444444,0.3277777777777778,0.3277777777777778,0.6555555555555556,data/llm/steering_vectors/steering_loophole_llama-3.1-8b-instruct_mean_layer10_alpha2.1_both.npy
mean,10,2.2,both,0.34444444444444444,0.3277777777777778,0.3277777777777778,0.6555555555555556,data/llm/steering_vectors/steering_loophole_llama-3.1-8b-instruct_mean_layer10_alpha2.2_both.npy
mean,10,2.25,both,0.34444444444444444,0.3277777777777778,0.3277777777777778,0.6555555555555556,data/llm/steering_vectors/steering_loophole_llama-3.1-8b-instruct_mean_layer10_alpha2.25_both.npy
mean,10,2.3,both,0.34444444444444444,0.3277777777777778,0.3277777777777778,0.6555555555555556,data/llm/steering_vectors/steering_loophole_llama-3.1-8b-instruct_mean_layer10_alpha2.3_both.npy
mean,10,2.4,both,0.34444444444444444,0.3277777777777778,0.3277777777777778,0.6555555555555556,data/llm/steering_vectors/steering_loophole_llama-3.1-8b-instruct_mean_layer10_alpha2.4_both.npy
mean,10,2.5,both,0.34444444444444444,0.3277777777777778,0.3277777777777778,0.6555555555555556,data/llm/steering_vectors/steering_loophole_llama-3.1-8b-instruct_mean_layer10_alpha2.5_both.npy
mean,10,2.6,both,0.34444444444444444,0.3277777777777778,0.3277777777777778,0.6555555555555556,data/llm/steering_vectors/steering_loophole_llama-3.1-8b-instruct_mean_layer10_alpha2.6_both.npy
mean,10,2.75,both,0.34444444444444444,0.3277777777777778,0.3277777777777778,0.6555555555555556,data/llm/steering_vectors/steering_loophole_llama-3.1-8b-instruct_mean_layer10_alpha2.75_both.npy
mean,10,3.0,both,0.34444444444444444,0.3277777777777778,0.3277777777777778,0.6555555555555556,data/llm/steering_vectors/steering_loophole_llama-3.1-8b-instruct_mean_layer10_alpha3.0_both.npy
mean,11,1.0,both,0.3212962962962963,0.35462962962962963,0.32407407407407407,0.6787037037037037,data/llm/steering_vectors/steering_loophole_llama-3.1-8b-instruct_mean_layer11_alpha1.0_both.npy
mean,11,1.25,both,0.3212962962962963,0.35462962962962963,0.32407407407407407,0.6787037037037037,data/llm/steering_vectors/steering_loophole_llama-3.1-8b-instruct_mean_layer11_alpha1.25_both.npy
mean,11,1.5,both,0.3212962962962963,0.35462962962962963,0.32407407407407407,0.6787037037037037,data/llm/steering_vectors/steering_loophole_llama-3.1-8b-instruct_mean_layer11_alpha1.5_both.npy
mean,11,1.6,both,0.3212962962962963,0.35462962962962963,0.32407407407407407,0.6787037037037037,data/llm/steering_vectors/steering_loophole_llama-3.1-8b-instruct_mean_layer11_alpha1.6_both.npy
mean,11,1.7,both,0.3212962962962963,0.35462962962962963,0.32407407407407407,0.6787037037037037,data/llm/steering_vectors/steering_loophole_llama-3.1-8b-instruct_mean_layer11_alpha1.7_both.npy
mean,11,1.75,both,0.3212962962962963,0.35462962962962963,0.32407407407407407,0.6787037037037037,data/llm/steering_vectors/steering_loophole_llama-3.1-8b-instruct_mean_layer11_alpha1.75_both.npy
mean,11,1.8,both,0.3212962962962963,0.35462962962962963,0.32407407407407407,0.6787037037037037,data/llm/steering_vectors/steering_loophole_llama-3.1-8b-instruct_mean_layer11_alpha1.8_both.npy
mean,11,1.9,both,0.32314814814814813,0.35462962962962963,0.32222222222222224,0.6768518518518518,data/llm/steering_vectors/steering_loophole_llama-3.1-8b-instruct_mean_layer11_alpha1.9_both.npy
mean,11,2.0,both,0.3287037037037037,0.3490740740740741,0.32222222222222224,0.6712962962962963,data/llm/steering_vectors/steering_loophole_llama-3.1-8b-instruct_mean_layer11_alpha2.0_both.npy
mean,11,2.1,both,0.3314814814814815,0.34444444444444444,0.32407407407407407,0.6685185185185185,data/llm/steering_vectors/steering_loophole_llama-3.1-8b-instruct_mean_layer11_alpha2.1_both.npy
mean,11,2.2,both,0.3351851851851852,0.34074074074074073,0.32407407407407407,0.6648148148148147,data/llm/steering_vectors/steering_loophole_llama-3.1-8b-instruct_mean_layer11_alpha2.2_both.npy
mean,11,2.25,both,0.3351851851851852,0.3425925925925926,0.32222222222222224,0.6648148148148149,data/llm/steering_vectors/steering_loophole_llama-3.1-8b-instruct_mean_layer11_alpha2.25_both.npy
mean,11,2.3,both,0.33796296296296297,0.3435185185185185,0.31851851851851853,0.662037037037037,data/llm/steering_vectors/steering_loophole_llama-3.1-8b-instruct_mean_layer11_alpha2.3_both.npy
mean,11,2.4,both,0.3333333333333333,0.3435185185185185,0.32314814814814813,0.6666666666666666,data/llm/steering_vectors/steering_loophole_llama-3.1-8b-instruct_mean_layer11_alpha2.4_both.npy
mean,11,2.5,both,0.3333333333333333,0.3425925925925926,0.32407407407407407,0.6666666666666667,data/llm/steering_vectors/steering_loophole_llama-3.1-8b-instruct_mean_layer11_alpha2.5_both.npy
mean,11,2.6,both,0.3314814814814815,0.34444444444444444,0.32407407407407407,0.6685185185185185,data/llm/steering_vectors/steering_loophole_llama-3.1-8b-instruct_mean_layer11_alpha2.6_both.npy
mean,11,2.75,both,0.3296296296296296,0.3453703703703704,0.325,0.6703703703703704,data/llm/steering_vectors/steering_loophole_llama-3.1-8b-instruct_mean_layer11_alpha2.75_both.npy
mean,11,3.0,both,0.32685185185185184,0.3453703703703704,0.3277777777777778,0.6731481481481482,data/llm/steering_vectors/steering_loophole_llama-3.1-8b-instruct_mean_layer11_alpha3.0_both.npy
mean,14,1.0,both,0.34444444444444444,0.3277777777777778,0.3277777777777778,0.6555555555555556,data/llm/steering_vectors/steering_loophole_llama-3.1-8b-instruct_mean_layer14_alpha1.0_both.npy
